Timestamp,Activity_Count,mod7,Hour,Minute,DayOfWeek,Weekend
2025-04-08 03:40:00,1,5,3,40,1,False
2025-04-08 03:50:00,0,6,3,50,1,False
2025-04-08 04:20:00,1,2,4,20,1,False
2025-04-08 04:30:00,0,3,4,30,1,False
2025-04-08 04:40:00,0,4,4,40,1,False
2025-04-08 04:50:00,0,5,4,50,1,False
2025-04-08 05:00:00,0,6,5,0,1,False
2025-04-08 05:30:00,0,2,5,30,1,False
2025-04-08 05:40:00,0,3,5,40,1,False
2025-04-08 05:50:00,1,4,5,50,1,False
2025-04-08 06:00:00,0,5,6,0,1,False
2025-04-08 06:10:00,0,6,6,10,1,False
2025-04-08 06:40:00,0,2,6,40,1,False
2025-04-08 06:50:00,0,3,6,50,1,False
2025-04-08 07:00:00,0,4,7,0,1,False
2025-04-08 07:10:00,0,5,7,10,1,False
2025-04-08 07:20:00,0,6,7,20,1,False
2025-04-08 07:50:00,3,2,7,50,1,False
2025-04-08 08:00:00,0,3,8,0,1,False
2025-04-08 08:10:00,0,4,8,10,1,False
2025-04-08 08:20:00,0,5,8,20,1,False
2025-04-08 08:30:00,1,6,8,30,1,False
2025-04-08 09:00:00,0,2,9,0,1,False
2025-04-08 09:10:00,6,3,9,10,1,False
2025-04-08 09:20:00,0,4,9,20,1,False
2025-04-08 09:30:00,2,5,9,30,1,False
2025-04-08 09:40:00,18,6,9,40,1,False
2025-04-08 10:10:00,60,2,10,10,1,False
2025-04-08 10:20:00,1,3,10,20,1,False
2025-04-08 10:30:00,0,4,10,30,1,False
2025-04-08 10:40:00,0,5,10,40,1,False
2025-04-08 10:50:00,1,6,10,50,1,False
2025-04-08 11:20:00,2,2,11,20,1,False
2025-04-08 11:30:00,3,3,11,30,1,False
2025-04-08 11:40:00,55,4,11,40,1,False
2025-04-08 11:50:00,24,5,11,50,1,False
2025-04-08 12:00:00,2,6,12,0,1,False
2025-04-08 12:30:00,4,2,12,30,1,False
2025-04-08 12:40:00,3,3,12,40,1,False
2025-04-08 12:50:00,2,4,12,50,1,False
2025-04-08 13:00:00,45,5,13,0,1,False
2025-04-08 13:10:00,0,6,13,10,1,False
2025-04-08 13:40:00,4,2,13,40,1,False
2025-04-08 13:50:00,51,3,13,50,1,False
2025-04-08 14:00:00,7,4,14,0,1,False
2025-04-08 14:10:00,42,5,14,10,1,False
2025-04-08 14:20:00,5,6,14,20,1,False
2025-04-08 14:50:00,4,2,14,50,1,False
2025-04-08 15:00:00,0,3,15,0,1,False
2025-04-08 15:10:00,2,4,15,10,1,False
2025-04-08 15:20:00,1,5,15,20,1,False
2025-04-08 15:30:00,3,6,15,30,1,False
2025-04-08 16:00:00,29,2,16,0,1,False
2025-04-08 16:10:00,0,3,16,10,1,False
2025-04-08 16:20:00,14,4,16,20,1,False
2025-04-08 16:30:00,27,5,16,30,1,False
2025-04-08 16:40:00,1,6,16,40,1,False
2025-04-08 17:10:00,2,2,17,10,1,False
2025-04-08 17:20:00,2,3,17,20,1,False
2025-04-08 17:30:00,1,4,17,30,1,False
2025-04-08 17:40:00,1,5,17,40,1,False
2025-04-08 17:50:00,8,6,17,50,1,False
2025-04-08 18:20:00,1,2,18,20,1,False
2025-04-08 18:30:00,1,3,18,30,1,False
2025-04-08 18:40:00,1,4,18,40,1,False
2025-04-08 18:50:00,0,5,18,50,1,False
2025-04-08 19:00:00,1,6,19,0,1,False
2025-04-08 19:30:00,2,2,19,30,1,False
2025-04-08 19:40:00,1,3,19,40,1,False
2025-04-08 19:50:00,0,4,19,50,1,False
2025-04-08 20:00:00,3,5,20,0,1,False
2025-04-08 20:10:00,1,6,20,10,1,False
2025-04-08 20:40:00,0,2,20,40,1,False
2025-04-08 20:50:00,1,3,20,50,1,False
2025-04-08 21:00:00,3,4,21,0,1,False
2025-04-08 21:10:00,1,5,21,10,1,False
2025-04-08 21:20:00,0,6,21,20,1,False
2025-04-08 21:50:00,0,2,21,50,1,False
2025-04-08 22:00:00,0,3,22,0,1,False
2025-04-08 22:10:00,0,4,22,10,1,False
2025-04-08 22:20:00,0,5,22,20,1,False
2025-04-08 22:30:00,0,6,22,30,1,False
2025-04-08 23:00:00,0,2,23,0,1,False
2025-04-08 23:10:00,3,3,23,10,1,False
2025-04-08 23:20:00,0,4,23,20,1,False
2025-04-08 23:30:00,0,5,23,30,1,False
2025-04-08 23:40:00,0,6,23,40,1,False
2025-04-09 00:10:00,0,2,0,10,2,False
2025-04-09 00:20:00,0,3,0,20,2,False
2025-04-09 00:30:00,0,4,0,30,2,False
2025-04-09 00:40:00,0,5,0,40,2,False
2025-04-09 00:50:00,0,6,0,50,2,False
